Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-100000,2022-04-13,CUST-5183,Customer 5183,West,Office Supplies,Storage,1016.22,5,0.09,155.25
ORD-100001,2023-03-12,CUST-7991,Customer 7991,West,Furniture,Furnishings,289.77,2,0.01,38.71
ORD-100002,2022-09-28,CUST-8098,Customer 8098,East,Furniture,Chairs,1955.34,2,0.19,344.35
ORD-100003,2022-04-17,CUST-8652,Customer 8652,North,Technology,Machines,10714.9,4,0.12,178.66
ORD-100004,2022-03-13,CUST-9448,Customer 9448,West,Technology,Phones,592.07,1,0.0,169.01
ORD-100005,2023-12-02,CUST-4017,Customer 4017,East,Office Supplies,Binders,156.2,5,0.07,9.41
ORD-100006,2022-01-21,CUST-9532,Customer 9532,West,Office Supplies,Storage,29.99,2,0.08,6.7
ORD-100007,2023-09-07,CUST-4598,Customer 4598,West,Office Supplies,Binders,308.09,7,0.0,69.75
ORD-100008,2022-05-02,CUST-7127,Customer 7127,East,Office Supplies,Paper,1080.28,7,0.1,183.18
ORD-100009,2023-04-12,CUST-9484,Customer 9484,East,Office Supplies,Paper,1275.74,6,0.06,115.17
ORD-100010,2022-08-03,CUST-7852,Customer 7852,North,Technology,Machines,8165.8,7,0.1,2014.26
ORD-100011,2022-11-27,CUST-4823,Customer 4823,West,Furniture,Tables,557.0,1,0.15,30.6
ORD-100012,2023-04-04,CUST-4598,Customer 4598,South,Furniture,Bookcases,4618.33,5,0.07,1288.6
ORD-100013,2022-03-29,CUST-7875,Customer 7875,South,Office Supplies,Art,435.39,7,0.19,79.14
ORD-100014,2023-01-08,CUST-7900,Customer 7900,North,Office Supplies,Art,272.38,4,0.1,43.02
ORD-100015,2022-04-10,CUST-6430,Customer 6430,West,Technology,Phones,15942.08,7,0.1,4411.43
ORD-100016,2023-10-26,CUST-4331,Customer 4331,East,Office Supplies,Paper,646.72,3,0.03,211.78
ORD-100017,2022-05-11,CUST-6913,Customer 6913,West,Furniture,Furnishings,720.88,1,0.0,210.4
ORD-100018,2023-10-24,CUST-1329,Customer 1329,West,Office Supplies,Paper,954.48,5,0.2,169.31
ORD-100019,2022-11-05,CUST-3593,Customer 3593,West,Office Supplies,Binders,693.68,7,0.12,137.39
ORD-100020,2022-12-10,CUST-8644,Customer 8644,North,Office Supplies,Binders,471.32,3,0.28,-43.34
ORD-100021,2023-05-07,CUST-9954,Customer 9954,South,Office Supplies,Art,679.55,5,0.06,160.72
ORD-100022,2023-02-18,CUST-2734,Customer 2734,East,Office Supplies,Paper,602.63,3,0.05,126.27
